iter	Passed	Remaining
0	21	13143
1	37	11264
2	59	11819
3	74	11163
4	91	10932
5	108	10776
6	125	10629
7	144	10682
8	160	10566
9	179	10571
10	196	10511
11	212	10413
12	231	10472
13	246	10335
14	261	10188
15	278	10179
16	293	10064
17	310	10044
18	328	10058
19	350	10170
20	368	10159
21	387	10172
22	405	10164
23	422	10145
24	440	10131
25	459	10134
26	477	10140
27	494	10102
28	516	10170
29	532	10113
30	553	10153
31	572	10154
32	590	10149
33	606	10102
34	624	10088
35	642	10072
36	657	10000
37	679	10053
38	696	10020
39	719	10078
40	735	10029
41	751	9983
42	767	9943
43	782	9887
44	796	9821
45	812	9781
46	825	9712
47	841	9671
48	857	9644
49	872	9595
50	885	9536
51	897	9461
52	913	9431
53	926	9362
54	941	9327
55	955	9284
56	972	9265
57	989	9249
58	1006	9225
59	1020	9183
60	1035	9153
61	1049	9110
62	1064	9077
63	1084	9083
64	1101	9067
65	1119	9054
66	1135	9034
67	1151	9007
68	1168	8991
69	1185	8977
70	1202	8958
71	1218	8938
72	1237	8933
73	1255	8927
74	1272	8908
75	1286	8871
76	1305	8868
77	1320	8835
78	1339	8837
79	1364	8868
80	1383	8864
81	1400	8847
82	1418	8834
83	1433	8803
84	1448	8774
85	1463	8745
86	1478	8719
87	1493	8690
88	1511	8680
89	1526	8648
90	1542	8626
91	1559	8610
92	1570	8559
93	1582	8520
94	1598	8495
95	1610	8456
96	1629	8450
97	1643	8417
98	1655	8377
99	1677	8389
100	1691	8358
101	1705	8324
102	1718	8291
103	1735	8277
104	1753	8266
105	1767	8237
106	1784	8222
107	1797	8187
108	1817	8186
109	1834	8170
110	1851	8158
111	1866	8134
112	1884	8121
113	1901	8104
114	1916	8083
115	1932	8064
116	1952	8059
117	1967	8037
118	1988	8038
119	2006	8026
120	2021	8001
121	2034	7972
122	2050	7951
123	2062	7918
124	2079	7903
125	2093	7875
126	2112	7866
127	2129	7851
128	2144	7830
129	2156	7795
130	2168	7762
131	2181	7735
132	2204	7741
133	2221	7725
134	2240	7717
135	2252	7684
136	2275	7690
137	2294	7682
138	2313	7672
139	2331	7659
140	2353	7660
141	2375	7661
142	2394	7651
143	2404	7614
144	2416	7582
145	2437	7580
146	2451	7555
147	2475	7560
148	2490	7537
149	2506	7519
150	2526	7511
151	2542	7495
152	2561	7483
153	2581	7476
154	2602	7472
155	2624	7469
156	2643	7457
157	2658	7438
158	2677	7426
159	2695	7412
160	2713	7397
161	2731	7386
162	2747	7365
163	2769	7361
164	2789	7352
165	2807	7339
166	2823	7321
167	2837	7296
168	2857	7288
169	2880	7285
170	2898	7272
171	2912	7246
172	2925	7220
173	2945	7210
174	2962	7193
175	2977	7172
176	2996	7160
177	3014	7145
178	3035	7139
179	3050	7118
180	3074	7116
181	3090	7098
182	3104	7075
183	3122	7060
184	3139	7041
185	3154	7021
186	3175	7012
187	3190	6991
188	3208	6978
189	3224	6957
190	3238	6935
191	3256	6919
192	3271	6898
193	3290	6886
194	3309	6872
195	3324	6851
196	3339	6831
197	3359	6821
198	3378	6808
199	3395	6791
200	3410	6769
201	3431	6760
202	3452	6751
203	3462	6721
204	3473	6693
205	3488	6671
206	3503	6651
207	3521	6637
208	3537	6617
209	3555	6603
210	3568	6579
211	3585	6562
212	3607	6553
213	3628	6544
214	3641	6521
215	3662	6511
216	3674	6485
217	3693	6471
218	3706	6447
219	3720	6425
220	3736	6407
221	3753	6391
222	3771	6375
223	3789	6361
224	3802	6336
225	3817	6316
226	3828	6291
227	3840	6266
228	3859	6253
229	3880	6242
230	3897	6226
231	3917	6214
232	3936	6200
233	3956	6188
234	3974	6173
235	3992	6157
236	4009	6141
237	4021	6116
238	4041	6104
239	4063	6095
240	4082	6081
241	4094	6056
242	4105	6031
243	4119	6009
244	4136	5993
245	4150	5972
246	4163	5950
247	4175	5926
248	4186	5901
249	4208	5891
250	4221	5870
251	4237	5851
252	4251	5831
253	4266	5812
254	4288	5801
255	4307	5788
256	4321	5767
257	4336	5747
258	4347	5724
259	4367	5711
260	4390	5702
261	4404	5682
262	4421	5665
263	4443	5654
264	4463	5642
265	4476	5621
266	4490	5600
267	4514	5592
268	4531	5575
269	4544	5554
270	4565	5542
271	4582	5526
272	4606	5517
273	4626	5504
274	4646	5491
275	4667	5479
276	4683	5460
277	4698	5442
278	4714	5423
279	4735	5412
280	4748	5390
281	4763	5371
282	4781	5355
283	4800	5340
284	4818	5325
285	4836	5310
286	4853	5293
287	4876	5282
288	4891	5263
289	4908	5247
290	4928	5233
291	4945	5216
292	4969	5207
293	4996	5200
294	5011	5181
295	5030	5166
296	5045	5147
297	5061	5129
298	5081	5115
299	5099	5099
300	5115	5081
301	5133	5065
302	5148	5046
303	5164	5028
304	5177	5008
305	5191	4988
306	5210	4973
307	5231	4959
308	5251	4945
309	5275	4935
310	5293	4918
311	5308	4900
312	5323	4880
313	5339	4863
314	5359	4849
315	5376	4832
316	5397	4819
317	5414	4801
318	5434	4786
319	5452	4770
320	5464	4749
321	5487	4737
322	5500	4717
323	5512	4695
324	5527	4677
325	5545	4660
326	5562	4644
327	5582	4629
328	5598	4611
329	5617	4595
330	5630	4576
331	5648	4559
332	5669	4545
333	5690	4531
334	5709	4516
335	5726	4499
336	5746	4484
337	5766	4470
338	5786	4454
339	5798	4434
340	5814	4416
341	5830	4398
342	5843	4378
343	5859	4360
344	5878	4345
345	5901	4332
346	5919	4316
347	5941	4302
348	5961	4287
349	5985	4275
350	6004	4259
351	6019	4241
352	6037	4224
353	6058	4210
354	6077	4194
355	6098	4179
356	6118	4164
357	6134	4146
358	6149	4128
359	6166	4110
360	6182	4092
361	6196	4073
362	6209	4054
363	6224	4035
364	6240	4017
365	6256	3999
366	6272	3982
367	6290	3965
368	6302	3945
369	6313	3924
370	6334	3910
371	6345	3889
372	6362	3871
373	6378	3854
374	6390	3834
375	6415	3821
376	6435	3806
377	6450	3788
378	6470	3772
379	6490	3757
380	6506	3739
381	6523	3722
382	6542	3706
383	6557	3688
384	6572	3670
385	6591	3654
386	6611	3639
387	6626	3620
388	6644	3604
389	6668	3590
390	6683	3572
391	6702	3556
392	6722	3540
393	6738	3523
394	6749	3502
395	6770	3487
396	6788	3471
397	6807	3455
398	6824	3437
399	6845	3422
400	6867	3408
401	6888	3393
402	6911	3378
403	6935	3364
404	6958	3350
405	6980	3335
406	7001	3320
407	7024	3305
408	7043	3289
409	7060	3271
410	7074	3253
411	7092	3236
412	7103	3216
413	7124	3201
414	7145	3185
415	7164	3169
416	7179	3150
417	7193	3131
418	7215	3117
419	7229	3098
420	7249	3082
421	7267	3065
422	7287	3049
423	7305	3032
424	7326	3016
425	7346	3000
426	7367	2984
427	7386	2968
428	7404	2951
429	7428	2936
430	7449	2920
431	7463	2902
432	7478	2884
433	7498	2867
434	7515	2850
435	7526	2831
436	7545	2814
437	7562	2797
438	7582	2780
439	7601	2764
440	7620	2747
441	7633	2728
442	7654	2712
443	7672	2695
444	7692	2679
445	7709	2662
446	7725	2644
447	7742	2627
448	7754	2607
449	7770	2590
450	7788	2573
451	7810	2557
452	7825	2539
453	7842	2522
454	7861	2505
455	7875	2486
456	7890	2469
457	7907	2451
458	7919	2432
459	7937	2415
460	7951	2397
461	7970	2380
462	7982	2362
463	8001	2345
464	8020	2328
465	8042	2312
466	8061	2295
467	8078	2278
468	8099	2262
469	8114	2244
470	8136	2228
471	8159	2212
472	8182	2197
473	8201	2180
474	8223	2163
475	8244	2147
