date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-07-2025,Uttar Pradesh,Varanasi,221107,177,325,22
03-09-2025,Uttar Pradesh,Varanasi,221001,11,33,0
03-09-2025,Uttar Pradesh,Varanasi,221005,4,1,0
03-09-2025,Uttar Pradesh,Varanasi,221007,11,18,0
03-09-2025,Uttar Pradesh,Varanasi,221101,5,9,1
03-09-2025,Uttar Pradesh,Varanasi,221104,7,6,0
03-09-2025,Uttar Pradesh,Varanasi,221107,1,4,0
03-09-2025,Uttar Pradesh,Varanasi,221305,0,2,0
02-09-2025,Uttar Pradesh,Varanasi,221001,6,15,0
02-09-2025,Uttar Pradesh,Varanasi,221112,1,2,0
02-09-2025,Uttar Pradesh,Varanasi,221208,8,4,0
02-09-2025,Uttar Pradesh,Varanasi,221210,0,1,0
01-09-2025,Uttar Pradesh,Varanasi,221003,7,9,0
01-09-2025,Uttar Pradesh,Varanasi,221008,6,3,0
01-09-2025,Uttar Pradesh,Varanasi,221103,2,3,0
01-09-2025,Uttar Pradesh,Varanasi,221106,2,2,0
01-09-2025,Uttar Pradesh,Varanasi,221108,0,1,0
01-09-2025,Uttar Pradesh,Varanasi,221109,0,1,0
01-09-2025,Uttar Pradesh,Varanasi,221201,0,1,0
01-09-2025,Uttar Pradesh,Varanasi,221202,2,7,0
01-09-2025,Uttar Pradesh,Varanasi,221210,0,1,0
01-09-2025,Uttar Pradesh,Varanasi,221307,3,10,0
01-09-2025,Uttar Pradesh,Varanasi,221311,3,4,0
06-09-2025,Uttar Pradesh,Varanasi,221004,0,3,0
06-09-2025,Uttar Pradesh,Varanasi,221007,6,10,0
06-09-2025,Uttar Pradesh,Varanasi,221008,0,3,0
06-09-2025,Uttar Pradesh,Varanasi,221011,2,2,0
06-09-2025,Uttar Pradesh,Varanasi,221106,4,3,0
06-09-2025,Uttar Pradesh,Varanasi,221116,0,1,0
06-09-2025,Uttar Pradesh,Varanasi,221307,2,9,0
06-09-2025,Uttar Pradesh,Varanasi,221403,3,5,0
05-09-2025,Uttar Pradesh,Varanasi,221001,2,1,0
05-09-2025,Uttar Pradesh,Varanasi,221109,2,0,0
05-09-2025,Uttar Pradesh,Varanasi,221202,1,2,0
05-09-2025,Uttar Pradesh,Varanasi,221313,1,0,0
04-09-2025,Uttar Pradesh,Varanasi,221003,2,7,0
04-09-2025,Uttar Pradesh,Varanasi,221007,3,9,0
04-09-2025,Uttar Pradesh,Varanasi,221207,2,1,0
04-09-2025,Uttar Pradesh,Varanasi,221208,1,3,0
04-09-2025,Uttar Pradesh,Varanasi,221305,0,1,0
04-09-2025,Uttar Pradesh,Varanasi,221403,0,4,0
07-09-2025,Uttar Pradesh,Varanasi,221101,1,0,0
07-09-2025,Uttar Pradesh,Varanasi,221103,1,4,0
09-09-2025,Uttar Pradesh,Varanasi,221010,6,10,0
09-09-2025,Uttar Pradesh,Varanasi,221011,3,8,0
09-09-2025,Uttar Pradesh,Varanasi,221305,1,5,0
09-09-2025,Uttar Pradesh,Varanasi,221405,1,4,0
08-09-2025,Uttar Pradesh,Varanasi,221003,3,4,0
08-09-2025,Uttar Pradesh,Varanasi,221104,6,17,0
08-09-2025,Uttar Pradesh,Varanasi,221105,2,2,0
08-09-2025,Uttar Pradesh,Varanasi,221107,2,9,0
08-09-2025,Uttar Pradesh,Varanasi,221202,0,11,0
08-09-2025,Uttar Pradesh,Varanasi,221210,1,1,0
08-09-2025,Uttar Pradesh,Varanasi,221311,2,2,0
10-09-2025,Uttar Pradesh,Varanasi,221101,0,17,0
10-09-2025,Uttar Pradesh,Varanasi,221103,0,1,0
10-09-2025,Uttar Pradesh,Varanasi,221105,1,10,0
10-09-2025,Uttar Pradesh,Varanasi,221106,1,4,0
10-09-2025,Uttar Pradesh,Varanasi,221108,1,3,0
10-09-2025,Uttar Pradesh,Varanasi,221109,0,2,0
10-09-2025,Uttar Pradesh,Varanasi,221204,1,5,0
10-09-2025,Uttar Pradesh,Varanasi,221307,2,8,0
11-09-2025,Uttar Pradesh,Varanasi,221001,12,14,1
11-09-2025,Uttar Pradesh,Varanasi,221002,5,10,0
11-09-2025,Uttar Pradesh,Varanasi,221101,5,15,0
11-09-2025,Uttar Pradesh,Varanasi,221108,0,4,0
11-09-2025,Uttar Pradesh,Varanasi,221201,3,4,0
11-09-2025,Uttar Pradesh,Varanasi,221204,2,7,0
11-09-2025,Uttar Pradesh,Varanasi,221207,0,1,0
11-09-2025,Uttar Pradesh,Varanasi,221403,2,1,0
14-09-2025,Uttar Pradesh,Varanasi,221003,2,0,0
14-09-2025,Uttar Pradesh,Varanasi,221008,0,1,0
14-09-2025,Uttar Pradesh,Varanasi,221112,1,1,0
14-09-2025,Uttar Pradesh,Varanasi,221302,2,2,0
14-09-2025,Uttar Pradesh,Varanasi,221311,0,1,0
12-09-2025,Uttar Pradesh,Varanasi,221001,9,8,0
12-09-2025,Uttar Pradesh,Varanasi,221101,7,18,0
12-09-2025,Uttar Pradesh,Varanasi,221103,0,1,0
12-09-2025,Uttar Pradesh,Varanasi,221106,5,2,0
12-09-2025,Uttar Pradesh,Varanasi,221302,1,0,0
12-09-2025,Uttar Pradesh,Varanasi,221305,0,1,0
12-09-2025,Uttar Pradesh,Varanasi,221311,2,2,0
12-09-2025,Uttar Pradesh,Varanasi,221403,2,7,0
13-09-2025,Uttar Pradesh,Varanasi,221002,7,6,0
13-09-2025,Uttar Pradesh,Varanasi,221112,5,4,0
13-09-2025,Uttar Pradesh,Varanasi,221305,0,1,0
